Id,PostId,Score,CreationDate,UserId,ContentLicense
301,260,3,2015-01-30T17:17:30.830,76,CC BY-SA 3.0
302,232,0,2015-01-30T17:53:59.113,110,CC BY-SA 3.0
303,266,0,2015-01-30T21:35:49.483,34,CC BY-SA 3.0
304,263,0,2015-01-31T01:09:27.287,98,CC BY-SA 3.0
305,221,0,2015-01-31T07:07:04.140,132,CC BY-SA 3.0
306,243,0,2015-01-31T09:48:45.367,57,CC BY-SA 3.0
307,88,0,2015-01-31T13:52:35.190,75,CC BY-SA 3.0
308,79,1,2015-01-31T14:56:53.783,132,CC BY-SA 3.0
309,243,0,2015-01-31T15:33:38.813,8,CC BY-SA 3.0
310,243,0,2015-01-31T16:17:28.650,57,CC BY-SA 3.0
313,272,0,2015-01-31T16:37:58.100,132,CC BY-SA 3.0
315,243,0,2015-01-31T19:40:21.513,8,CC BY-SA 3.0
316,232,2,2015-01-31T19:49:52.587,191,CC BY-SA 3.0
317,231,2,2015-01-31T21:27:11.713,52,CC BY-SA 3.0
318,139,5,2015-02-01T01:29:31.663,34,CC BY-SA 3.0
320,283,0,2015-02-01T15:10:56.903,124,CC BY-SA 3.0
321,283,0,2015-02-01T15:12:33.357,31,CC BY-SA 3.0
322,283,0,2015-02-01T15:14:32.913,31,CC BY-SA 3.0
323,283,0,2015-02-01T15:15:28.530,124,CC BY-SA 3.0
324,283,1,2015-02-01T15:31:52.987,31,CC BY-SA 3.0
325,12,0,2015-02-01T16:42:03.000,132,CC BY-SA 3.0
327,262,0,2015-02-01T19:57:51.903,23,CC BY-SA 3.0
331,280,0,2015-02-01T20:51:21.100,47,CC BY-SA 3.0
332,64,1,2015-02-01T22:19:56.093,47,CC BY-SA 3.0
333,262,0,2015-02-01T22:20:35.703,47,CC BY-SA 3.0
335,286,0,2015-02-02T01:53:10.207,31,CC BY-SA 3.0
337,12,0,2015-02-02T03:27:54.590,19,CC BY-SA 3.0
338,12,0,2015-02-02T04:10:01.033,132,CC BY-SA 3.0
339,231,0,2015-02-02T07:25:07.350,,CC BY-SA 3.0
340,285,0,2015-02-02T08:13:07.470,52,CC BY-SA 3.0
341,280,1,2015-02-02T08:36:39.073,211,CC BY-SA 3.0
342,277,0,2015-02-02T09:40:05.963,25,CC BY-SA 3.0
343,231,1,2015-02-02T11:17:17.817,141,CC BY-SA 3.0
344,285,0,2015-02-02T11:20:56.240,127,CC BY-SA 3.0
345,299,0,2015-02-02T12:17:44.680,,CC BY-SA 3.0
346,277,1,2015-02-02T12:52:24.783,34,CC BY-SA 3.0
347,29,0,2015-02-02T13:51:11.930,34,CC BY-SA 3.0
348,285,0,2015-02-02T14:39:45.240,52,CC BY-SA 3.0
349,274,0,2015-02-02T16:22:32.487,86,CC BY-SA 3.0
350,294,0,2015-02-02T16:24:50.367,86,CC BY-SA 3.0
351,299,0,2015-02-02T16:39:52.520,23,CC BY-SA 3.0
352,307,0,2015-02-02T17:07:54.713,8,CC BY-SA 3.0
353,307,0,2015-02-02T17:09:20.567,76,CC BY-SA 3.0
354,79,0,2015-02-02T17:11:35.930,76,CC BY-SA 3.0
355,307,0,2015-02-02T17:17:47.563,127,CC BY-SA 3.0
356,309,0,2015-02-02T17:31:17.110,141,CC BY-SA 3.0
357,306,3,2015-02-02T17:39:14.320,137,CC BY-SA 3.0
358,274,0,2015-02-02T17:53:24.633,132,CC BY-SA 3.0
359,260,0,2015-02-02T17:54:25.937,78,CC BY-SA 3.0
360,306,0,2015-02-02T18:57:44.570,76,CC BY-SA 3.0
361,306,0,2015-02-02T18:59:09.247,225,CC BY-SA 3.0
362,306,0,2015-02-02T19:04:56.843,76,CC BY-SA 3.0
363,306,0,2015-02-02T19:23:34.433,225,CC BY-SA 3.0
364,306,0,2015-02-02T19:25:04.090,76,CC BY-SA 3.0
365,285,0,2015-02-02T19:28:41.610,76,CC BY-SA 3.0
366,285,0,2015-02-02T19:31:32.413,127,CC BY-SA 3.0
368,294,0,2015-02-02T21:36:52.883,17,CC BY-SA 3.0
369,305,1,2015-02-03T00:55:12.310,76,CC BY-SA 3.0
371,305,0,2015-02-03T03:45:43.480,,CC BY-SA 3.0
372,309,0,2015-02-03T03:46:27.993,,CC BY-SA 3.0
373,305,0,2015-02-03T11:39:34.197,141,CC BY-SA 3.0
374,285,0,2015-02-03T13:06:35.307,101,CC BY-SA 3.0
375,285,0,2015-02-03T13:14:58.143,127,CC BY-SA 3.0
376,56,1,2015-02-03T17:28:14.557,127,CC BY-SA 3.0
377,56,1,2015-02-03T17:36:55.063,59,CC BY-SA 3.0
378,316,1,2015-02-03T17:47:28.150,59,CC BY-SA 3.0
379,318,1,2015-02-03T20:11:37.893,86,CC BY-SA 3.0
380,274,0,2015-02-03T20:20:56.450,86,CC BY-SA 3.0
381,316,0,2015-02-03T20:58:42.240,23,CC BY-SA 3.0
382,314,0,2015-02-03T20:59:25.197,23,CC BY-SA 3.0
383,227,1,2015-02-03T21:47:10.217,23,CC BY-SA 3.0
384,165,0,2015-02-03T23:43:16.213,68,CC BY-SA 3.0
385,165,1,2015-02-03T23:44:53.933,37,CC BY-SA 3.0
386,318,1,2015-02-04T00:05:08.203,31,CC BY-SA 3.0
387,286,0,2015-02-04T00:55:54.413,86,CC BY-SA 3.0
388,98,0,2015-02-04T10:19:03.260,110,CC BY-SA 3.0
389,274,0,2015-02-04T12:33:20.230,132,CC BY-SA 3.0
390,274,0,2015-02-04T12:33:56.080,132,CC BY-SA 3.0
391,274,0,2015-02-04T12:36:57.187,132,CC BY-SA 3.0
393,98,0,2015-02-04T13:28:36.307,98,CC BY-SA 3.0
394,327,0,2015-02-04T13:57:23.080,23,CC BY-SA 3.0
395,327,0,2015-02-04T14:48:19.713,131,CC BY-SA 3.0
396,327,0,2015-02-04T15:00:06.863,23,CC BY-SA 3.0
397,327,0,2015-02-04T15:03:07.770,131,CC BY-SA 3.0
398,327,0,2015-02-04T15:10:08.633,23,CC BY-SA 3.0
399,328,6,2015-02-04T15:16:46.367,23,CC BY-SA 3.0
400,314,0,2015-02-04T15:17:08.170,145,CC BY-SA 3.0
401,314,0,2015-02-04T15:20:27.683,23,CC BY-SA 3.0
402,299,0,2015-02-04T15:39:52.510,145,CC BY-SA 3.0
403,288,2,2015-02-04T16:26:35.203,145,CC BY-SA 3.0
