Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
510,97,2,2015-01-28T00:00:00.000,,
511,97,5,2015-01-28T00:00:00.000,127,
512,131,2,2015-01-28T00:00:00.000,,
513,130,1,2015-01-28T00:00:00.000,,
514,119,2,2015-01-28T00:00:00.000,,
515,136,2,2015-01-28T00:00:00.000,,
516,138,2,2015-01-28T00:00:00.000,,
517,116,2,2015-01-28T00:00:00.000,,
518,120,2,2015-01-28T00:00:00.000,,
519,120,5,2015-01-28T00:00:00.000,132,
520,138,1,2015-01-28T00:00:00.000,,
521,131,2,2015-01-28T00:00:00.000,,
522,131,5,2015-01-28T00:00:00.000,132,
523,138,2,2015-01-28T00:00:00.000,,
524,137,2,2015-01-28T00:00:00.000,,
525,128,2,2015-01-28T00:00:00.000,,
526,116,5,2015-01-28T00:00:00.000,132,
527,116,2,2015-01-28T00:00:00.000,,
528,120,2,2015-01-28T00:00:00.000,,
529,124,2,2015-01-28T00:00:00.000,,
530,135,2,2015-01-28T00:00:00.000,,
531,138,2,2015-01-28T00:00:00.000,,
532,118,2,2015-01-28T00:00:00.000,,
533,140,2,2015-01-28T00:00:00.000,,
534,78,2,2015-01-28T00:00:00.000,,
535,121,2,2015-01-28T00:00:00.000,,
536,41,2,2015-01-28T00:00:00.000,,
537,78,16,2015-01-28T00:00:00.000,,
538,121,2,2015-01-28T00:00:00.000,,
539,140,2,2015-01-28T00:00:00.000,,
540,120,2,2015-01-28T00:00:00.000,,
541,139,2,2015-01-28T00:00:00.000,,
542,139,2,2015-01-28T00:00:00.000,,
543,141,2,2015-01-28T00:00:00.000,,
544,141,2,2015-01-28T00:00:00.000,,
545,141,1,2015-01-28T00:00:00.000,,
546,141,2,2015-01-28T00:00:00.000,,
547,70,2,2015-01-28T00:00:00.000,,
548,85,2,2015-01-28T00:00:00.000,,
549,53,2,2015-01-28T00:00:00.000,,
550,80,2,2015-01-28T00:00:00.000,,
551,139,2,2015-01-28T00:00:00.000,,
552,41,2,2015-01-28T00:00:00.000,,
553,141,2,2015-01-28T00:00:00.000,,
554,39,2,2015-01-28T00:00:00.000,,
555,8,2,2015-01-28T00:00:00.000,,
556,142,2,2015-01-28T00:00:00.000,,
557,39,2,2015-01-28T00:00:00.000,,
558,39,5,2015-01-28T00:00:00.000,132,
559,126,2,2015-01-28T00:00:00.000,,
560,81,2,2015-01-28T00:00:00.000,,
561,144,2,2015-01-28T00:00:00.000,,
562,145,2,2015-01-28T00:00:00.000,,
563,145,1,2015-01-28T00:00:00.000,,
564,144,2,2015-01-28T00:00:00.000,,
565,142,2,2015-01-28T00:00:00.000,,
566,115,2,2015-01-28T00:00:00.000,,
567,119,2,2015-01-28T00:00:00.000,,
568,116,2,2015-01-28T00:00:00.000,,
569,118,2,2015-01-28T00:00:00.000,,
570,141,2,2015-01-28T00:00:00.000,,
571,140,2,2015-01-28T00:00:00.000,,
572,1,2,2015-01-28T00:00:00.000,,
573,71,2,2015-01-28T00:00:00.000,,
574,82,2,2015-01-28T00:00:00.000,,
575,66,2,2015-01-28T00:00:00.000,,
576,125,2,2015-01-28T00:00:00.000,,
577,133,2,2015-01-28T00:00:00.000,,
578,135,2,2015-01-28T00:00:00.000,,
579,146,2,2015-01-28T00:00:00.000,,
580,140,2,2015-01-28T00:00:00.000,,
581,142,1,2015-01-28T00:00:00.000,,
